101...,MocscowCity,Russia
102...,MocscowCity,Russia
103...,MocscowCity,Russia
104...,MocscowCity,Russia
105...,MocscowCity,Russia
106...,MocscowCity,Russia
107...,MocscowCity,Russia
108...,MocscowCity,Russia
109...,MocscowCity,Russia
110...,MocscowCity,Russia
111...,MocscowCity,Russia
112...,MocscowCity,Russia
113...,MocscowCity,Russia
114...,MocscowCity,Russia
115...,MocscowCity,Russia
116...,MocscowCity,Russia
117...,MocscowCity,Russia
118...,MocscowCity,Russia
119...,MocscowCity,Russia
120...,MocscowCity,Russia
121...,MocscowCity,Russia
122...,MocscowCity,Russia
123...,MocscowCity,Russia
124...,MocscowCity,Russia
125...,MocscowCity,Russia
126...,MocscowCity,Russia
127...,MocscowCity,Russia
128...,MocscowCity,Russia
129...,MocscowCity,Russia
140...,MoscowOblast,Russia
141...,MoscowOblast,Russia
142...,MoscowOblast,Russia
143...,MoscowOblast,Russia
144...,MoscowOblast,Russia
150...,Yaroslavl,Russia
152...,Yaroslavl,Russia
153...,Ivanovo,Russia
156...,Kostroma,Russia
160...,Vologda,Russia
161...,Vologda,Russia
162...,Vologda,Russia
163...,Arkhangelsk,Russia
164...,Arkhangelsk,Russia
165...,Arkhangelsk,Russia
166...,Nenets,Russia
167...,Komi,Russia
168...,Komi,Russia
169...,Komi,Russia
170...,Tver,Russia
173...,Novgorod,Russia
174...,Novgorod,Russia
175...,Novgorod,Russia
180...,Pskov,Russia
181...,Pskov,Russia
182...,Pskov,Russia
183...,Murmansk,Russia
184...,Murmansk,Russia
185...,Karelia,Russia
186...,Karelia,Russia
187...,Leningrad,Russia
188...,Leningrad,Russia
190...,SaintPetersburg,Russia
191...,SaintPetersburg,Russia
192...,SaintPetersburg,Russia
193...,SaintPetersburg,Russia
194...,SaintPetersburg,Russia
195...,SaintPetersburg,Russia
196...,SaintPetersburg,Russia
197...,SaintPetersburg,Russia
198...,SaintPetersburg,Russia
199...,SaintPetersburg,Russia
214...,Smolensk,Russia
236...,Kaliningrad,Russia
241...,Bryansk,Russia
242...,Bryansk,Russia
243...,Bryansk,Russia
249...,Kaluga,Russia
300...,Tula,Russia
301...,Tula,Russia
302...,Orel,Russia
305...,Kursk,Russia
308...,Belgorod,Russia
344...,Rostov,Russia
350...,Krasnodar,Russia
355...,Stavropol,Russia
358...,Kalmykia,Russia
359...,Kalmykia,Russia
360...,KabardinoBalkar,Russia
361...,KabardinoBalkar,Russia
362...,NorthOssetiaAlania,Russia
363...,NorthOssetiaAlania,Russia
364...,Chechnya,Russia
367...,Dagestan,Russia
368...,Dagestan,Russia
369...,KarachayCherkess,Russia
385...,Adygey,Russia
386...,Ingush,Russia
390...,Ryazan,Russia
392...,Tambov,Russia
394...,Voronezh,Russia
396...,Voronezh,Russia
397...,Voronezh,Russia
398...,Lipetsk,Russia
400...,Volgograd,Russia
403...,Volgograd,Russia
404...,Volgograd,Russia
410...,Saratov,Russia
414...,Astrachan,Russia
420...,Tatarstan,Russia
422...,MariEI,Russia
423...,MariEI,Russia
424...,MariEI,Russia
425...,MariEI,Russia
426...,Udmurt,Russia
428...,Chuvash,Russia
429...,Chuvash,Russia
430...,Mordovia,Russia
431...,Mordovia,Russia
432...,Ulyanovsk,Russia
440...,Penza,Russia
443...,Samara,Russia
450...,Bashkortostan,Russia
452...,Bashkortostan,Russia
453...,Bashkortostan,Russia
454...,Chelyabinsk,Russia
460...,Orenburg,Russia
600...,Vladimir,Russia
601...,Vladimir,Russia
602...,Vladimir,Russia
603...,NizhnyNovgorod,Russia
606...,NizhnyNovgorod,Russia
607...,NizhnyNovgorod,Russia
610...,Kirov,Russia
614...,Perm,Russia
619...,KomiPermyak,Russia
620...,Sverdlovsk,Russia
625...,Tyumen,Russia
628...,KhantyMansiy,Russia
629...,YamalNenets,Russia
630...,Novosibirsk,Russia
634...,Tomsk,Russia
640...,Kurgan,Russia
644...,Omsk,Russia
647...,Taymyr,Russia
648...,Evenk,Russia
649...,GornoAltay,Russia
650...,Kemerovo,Russia
655...,Khakass,Russia
656...,Altay,Russia
660...,Krasnoyarsk,Russia
664...,Irkutsk,Russia
665...,Irkutsk,Russia
666...,Irkutsk,Russia
667...,Tuva,Russia
669...,UstOrdaBuryat,Russia
670...,Buryat,Russia
671...,Buryat,Russia
672...,Chita,Russia
675...,Amur,Russia
677...,Sakha,Russia
678...,Sakha,Russia
679...,Yevrey,Russia
680...,Khabarovsk,Russia
683...,Kamchatka,Russia
685...,MagaBuryatdan,Russia
687...,AgaBuryat,Russia
688...,Koryak,Russia
689...,Chukot,Russia
690...,Primorsky,Russia
693...,Sakhalin,Russia
